Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
ACP1	HAAP		ENSG00000143727
ACP1	LMW-PTP		ENSG00000143727
ACP1	LMWPTP		ENSG00000143727
ACP2	LAP		ENSG00000134575
ACP3	ACP-3	ACPP	ENSG00000014257
ACP3	PAP	ACPP	ENSG00000014257
ACP3	TM-PAP	ACPP	ENSG00000014257
ACP4		ACPT	ENSG00000142513
ACP5	TRAP		ENSG00000102575
ACP5	HPAP		ENSG00000102575
ACP5	TRAcP		ENSG00000102575
ACP6	LPAP		ENSG00000162836
ACP6	ACPL1		ENSG00000162836
ACP7	FLJ16165		ENSG00000183760
ACP7	PAPL1		ENSG00000183760
ACP7	PAPL		ENSG00000183760
ACR			ENSG00000100312
ACRBP	SP32		ENSG00000111644
ACRBP	OY-TES-1		ENSG00000111644
ACRBP	CT23		ENSG00000111644
ACRP1			ENSG00000175509
ACRV1	SPACA2		ENSG00000134940
ACRV1	SP-10		ENSG00000134940
ACRV1	D11S4365		ENSG00000134940
ACSBG1	BGM		ENSG00000103740
ACSBG1	FLJ30320		ENSG00000103740
ACSBG1	MGC14352		ENSG00000103740
ACSBG1	BG1		ENSG00000103740
ACSBG1	KIAA0631		ENSG00000103740
ACSBG1	hBG1		ENSG00000103740
ACSBG1	hsBG		ENSG00000103740
ACSBG2	BGR		ENSG00000130377
ACSBG2	PRTD-NY3		ENSG00000130377
ACSBG2	DKFZp434K1635		ENSG00000130377
ACSF2	FLJ20920		ENSG00000167107
ACSF2	ACSMW		ENSG00000167107
ACSF3			ENSG00000176715
ACSL1	LACS2	FACL2	ENSG00000151726
ACSL1	LACS	FACL2	ENSG00000151726
ACSL1	ACS1	FACL2	ENSG00000151726
ACSL1	LACS1	FACL2	ENSG00000151726
ACSL1	FACL1	FACL2	ENSG00000151726
ACSL3	ACS3	FACL3	ENSG00000123983
ACSL3	PRO2194	FACL3	ENSG00000123983
ACSL3-AS1			ENSG00000234193
ACSL3P1			ENSG00000244062
ACSL4	ACS4	FACL4	ENSG00000068366
ACSL4	ACS4	MRX63	ENSG00000068366
ACSL4	ACS4	MRX68	ENSG00000068366
